t_s,gps_x_m,gps_y_m,gps_alt_m,ground_speed_ms,roll_rad,pitch_rad,yaw_rad,anemo_body_x_ms,anemo_body_y_ms,anemo_body_z_ms,_true_wind_x,_true_wind_y,_true_wind_z
0.0,150.24377366380355,-0.8319872849923965,60.60036095664517,10.34401892282994,0.0842362027701168,-0.3345904580775462,1.5571599348868503,-7.818180535560886,-4.7487172673489395,3.4675981444607147,4.8833484501107645,2.030009070066459,0.5367423839572496
0.5,150.6121424327546,5.857158053718305,60.052824558048975,10.46448662531804,0.086191074408097,-0.3092635189753006,1.596704422205853,-8.325086811503283,-4.216285222593222,3.9171281754242115,4.086536443237736,1.5519218659426417,0.5367423839572496
1.0,149.48671764813741,9.918727426095643,60.978033070939226,10.53659866241716,0.0727684031405475,-0.3186447038237651,1.6369219629570155,-8.395759654487794,-3.817310862119902,3.8006151976788414,4.106919284896749,1.5641515709380498,0.5367423839572496
1.5,150.89160238593738,15.354137477040329,59.59020581674277,10.569564430139685,0.06586482401013127,-0.3077087439298938,1.6873386521176175,-8.415115445981483,-5.068006436596614,3.361960334874839,4.848596826005256,2.0091580956031536,0.5367423839572496
2.0,149.1348136481983,21.310488558653972,59.46759223416905,10.482112372389311,0.0768178197826291,-0.31293733442306365,1.7127127685841352,-7.958825632699617,-5.438365035972058,3.9071964069595415,5.4940338468028935,2.396420308081736,0.5367423839572496
2.5,147.95245847078317,26.552257230710385,58.83427534411547,10.617217265154698,0.07103904294307475,-0.3190849962762319,1.7386389388123877,-8.642233228762523,-4.794043661046795,3.4435959022934117,5.268422752263847,2.261053651358308,0.5367423839572498
3.0,145.3758442927782,30.91884559867528,60.130202452084006,10.443279863233736,0.08052553799121075,-0.3067113180319292,1.7885437498537158,-9.24921986425821,-4.30128224656979,4.148530418741527,4.171863641569108,1.603118184941465,0.5367423839572496
3.5,144.52380988272915,35.38165456874737,59.26443817119871,10.425573531007942,0.07959288722989058,-0.31266778653857463,1.8223731677932715,-9.793512074397837,-2.821704387484387,4.141512835962049,3.0288103763143845,0.9172862257886307,0.5367423839572496
4.0,144.55467458079377,40.81606261969655,59.70955692274794,10.538955188370469,0.07038908221470883,-0.3266820688438258,1.855148571007777,-9.977959591640259,-2.6184699976516086,4.127152476793167,2.8029085365018838,0.7817451219011303,0.5367423839572496
4.5,143.19078553145124,46.273760768634574,59.66136135036468,10.336153653661968,0.07355182494017924,-0.3318289902318848,1.8698014657796007,-10.132338290088855,-4.069886802580767,4.133632289591243,3.770881115523089,1.3625286693138534,0.5367423839572496
5.0,140.65136307465474,52.34240413707916,59.71498882315086,10.212877448487127,0.08210987706532978,-0.3239360868415812,1.9177108401185345,-9.817545379778908,-5.56426457173141,4.356287931298774,5.275771043940703,2.265462626364422,0.5367423839572496
